comfort_food,comfort_food_reasons
japanese,happy
japanese,stress
japanese,sad
japanese,happy
japanese,happy
japanese,boredom
japanese,happy
japanese,tv
japanese,boredom
japanese,happy
korean,happy
korean,sad
korean,sad
korean,boredom
korean,boredom
korean,happy
korean,boredom
korean,cold
korean,happy
korean,sad
korean,happy
sunda,happy
sunda,cold
sunda,cold
sunda,boredom
sunda,cold
sunda,boredom
sunda,boredom
sunda,cold
sunda,happy
sunda,happy
sunda,happy
sunda,cold
sunda,boredom
indonesian,hungry
indonesian,stress
indonesian,hungry
indonesian,stress
indonesian,depression
indonesian,depression
indonesian,depression
indonesian,hungry
indonesian,hungry
indonesian,stress
indonesian,stress
peranakan,depression
peranakan,hungry
peranakan,stress
peranakan,stress
peranakan,depression
peranakan,hungry
peranakan,stress
peranakan,stress
burger,laziness
burger,laziness
burger,sad
burger,laziness
burger,sad
burger,laziness
burger,sad
burger,laziness
burger,laziness
burger,laziness
burger,laziness
burger,boredom
burger,boredom
italian,stress
italian,cold
italian,tv
italian,laziness
italian,depression
italian,depression
italian,laziness
italian,stress
italian,sad
cafe,hungry
cafe,hungry
cafe,hungry
cafe,boredom
cafe,depression
cafe,stress
cafe,cold
cafe,cold
cafe,tv
cafe,tv
cafe,hungry
cafe,stress
seafood,happy
seafood,happy
seafood,happy
seafood,sad
seafood,sad
seafood,depression
seafood,hungry
seafood,hungry
seafood,hungry
seafood,hungry
seafood,boredom
seafood,depression
seafood,stress
seafood,tv
seafood,cold
seafood,cold
seafood,laziness
seafood,sad
seafood,boredom
seafood,happy
seafood,stress
seafood,depression
seafood,laziness
seafood,sad
seafood,boredom
seafood,tv
seafood,cold
seafood,cold
seafood,cold
seafood,cold
western food,happy
western food,laziness
western food,laziness
western food,happy
western food,sad
western food,sad
western food,sad
western food,sad
western food,sad
western food,sad
western food,cold
western food,cold
western food,cold
western food,cold
western food,tv
western food,tv
western food,depression
western food,depression
western food,hungry
western food,hungry
western food,hungry
western food,hungry
western food,hungry
western food,hungry
western food,hungry
western food,boredom
western food,cold
western food,laziness
western food,sad
western food,hungry
western food,depression
western food,depression
western food,depression
desserts,stress
desserts,happy
desserts,stress
desserts,stress
desserts,stress
desserts,stress
desserts,stress
desserts,stress
desserts,stress
desserts,stress
desserts,stress
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,sad
desserts,laziness
desserts,laziness
desserts,laziness
desserts,sad
desserts,laziness
desserts,sad
desserts,boredom
desserts,cold
desserts,tv
desserts,tv
desserts,tv
desserts,tv
desserts,tv
desserts,tv
desserts,tv
desserts,tv
desserts,depression
desserts,laziness
desserts,laziness
desserts,laziness
desserts,laziness
desserts,tv
desserts,cold
desserts,cold
desserts,hungry
desserts,hungry
desserts,hungry
desserts,boredom
desserts,laziness
desserts,sad
desserts,happy
desserts,stress
desserts,tv
desserts,cold
desserts,happy
desserts,laziness
desserts,sad
desserts,sad
desserts,sad
desserts,depression
desserts,sad
desserts,depression
desserts,laziness
desserts,happy
desserts,happy
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,depression
desserts,boredom
desserts,boredom
desserts,boredom
desserts,boredom
desserts,boredom
desserts,boredom
desserts,boredom
desserts,boredom
desserts,boredom
desserts,cold
desserts,tv
desserts,sad
desserts,depression
bakery,cold
bakery,cold
bakery,tv
bakery,sad
bakery,sad
bakery,boredom
bakery,boredom
bakery,boredom
bakery,boredom
bakery,boredom
bakery,boredom
bakery,stress
bakery,stress
bakery,stress
bakery,stress
bakery,stress
bakery,stress
bakery,hungry
bakery,hungry
bakery,hungry
bakery,happy
bakery,laziness
bakery,laziness
bakery,laziness
bakery,laziness
bakery,sad
bakery,boredom
bakery,boredom
bakery,boredom
bakery,cold
bakery,hungry
bakery,hungry
bakery,hungry
bakery,happy
bakery,depression
bakery,stress
bakery,laziness
bakery,sad
bakery,boredom
bakery,cold
bakery,tv
bakery,hungry
bakery,hungry
bakery,hungry
bakery,hungry
bakery,stress
bakery,stress
bakery,stress
bakery,happy
bakery,stress
bakery,stress
bakery,stress
bakery,stress
coffee and tea,stress
coffee and tea,stress
coffee and tea,stress
coffee and tea,happy
coffee and tea,sad
coffee and tea,sad
coffee and tea,sad
coffee and tea,sad
coffee and tea,sad
coffee and tea,stress
coffee and tea,sad
coffee and tea,stress
coffee and tea,boredom
coffee and tea,boredom
coffee and tea,cold
coffee and tea,tv
coffee and tea,hungry
coffee and tea,cold
coffee and tea,sad
